datetime,Guide Target_ft,Reservoir Level_ft,outflow_cfs,WaterSupply_cfs,inflow_cfs
10/1/2010,251.5,250.11,96,58,907
10/2/2010,251.5,250.09,96,59,38
10/3/2010,251.5,250.11,96,70,283
10/4/2010,251.5,250.05,96,56,199
10/5/2010,251.5,250.01,96,56,82
10/6/2010,251.5,249.98,96,73,2
10/7/2010,251.5,249.96,96,71,58
10/8/2010,251.5,249.91,96,71,105
10/9/2010,251.5,249.87,96,72,50
10/10/2010,251.5,249.84,96,72,5
10/11/2010,251.5,249.8,96,60,62
10/12/2010,251.5,249.78,96,77,64
10/13/2010,251.5,249.74,96,75,47
10/14/2010,251.5,249.85,96,73,768
10/15/2010,251.5,249.86,96,52,202
10/16/2010,251.5,249.83,96,69,2
10/17/2010,251.5,249.78,96,71,106
10/18/2010,251.5,249.75,96,58,9
10/19/2010,251.5,249.73,73,72,36
10/20/2010,251.5,249.7,65,71,27
10/21/2010,251.5,249.69,95,63,104
10/22/2010,251.5,249.65,95,69,54
10/23/2010,251.5,249.6,95,63,114
10/24/2010,251.5,249.55,95,63,115
10/25/2010,251.5,249.53,95,66,52
10/26/2010,251.5,249.55,95,58,262
10/27/2010,251.5,249.6,95,58,426
10/28/2010,251.5,249.62,95,58,262
10/29/2010,251.5,249.59,95,56,12
10/30/2010,251.5,249.55,95,69,54
10/31/2010,251.5,249.52,95,59,9
11/1/2010,251.5,249.47,95,56,122
11/2/2010,251.5,249.44,95,58,10
11/3/2010,251.5,249.41,95,58,11
11/4/2010,251.5,249.48,95,58,535
11/5/2010,251.5,249.49,95,56,205
11/6/2010,251.5,249.48,95,49,90
11/7/2010,251.5,249.41,95,47,240
11/8/2010,251.5,249.39,95,59,45
11/9/2010,251.5,249.37,95,45,31
11/10/2010,251.5,249.34,95,58,11
11/11/2010,251.5,249.32,95,58,44
11/12/2010,251.5,249.29,95,51,17
11/13/2010,251.5,249.26,95,52,17
11/14/2010,251.5,249.23,95,58,10
11/15/2010,251.5,249.21,95,48,34
11/16/2010,251.5,249.23,95,50,254
11/17/2010,251.5,249.2,95,61,7
11/18/2010,251.5,249.16,80,54,84
11/19/2010,251.5,249.16,57,54,111
11/20/2010,251.5,249.14,57,58,6
11/21/2010,251.5,249.12,57,45,7
11/22/2010,251.5,249.11,57,59,61
11/23/2010,251.5,249.13,57,43,209
11/24/2010,251.5,249.06,57,55,270
11/25/2010,251.5,249.03,57,54,53
11/26/2010,251.5,249.05,57,42,208
11/27/2010,251.5,249.02,57,41,66
11/28/2010,251.5,248.98,57,54,94
11/29/2010,251.5,248.96,57,38,1
11/30/2010,251.5,248.88,57,61,268
12/1/2010,251.5,248.97,57,37,528
12/2/2010,251.5,248.99,57,50,203
12/3/2010,251.5,248.97,57,38,1
12/4/2010,251.5,248.96,57,47,56
12/5/2010,251.5,248.91,57,51,133
12/6/2010,251.5,248.99,57,55,497
12/7/2010,251.5,248.9,57,54,322
12/8/2010,251.5,248.88,57,54,14
12/9/2010,251.5,248.84,57,49,87
12/10/2010,251.5,248.82,57,49,10
12/11/2010,251.5,248.84,57,40,193
12/12/2010,251.5,248.89,57,52,350
12/13/2010,251.5,248.87,57,56,17
12/14/2010,251.5,248.82,62,47,132
12/15/2010,251.5,248.77,62,59,120
12/16/2010,251.5,248.85,62,42,490
12/17/2010,251.5,248.88,62,58,264
12/18/2010,251.5,248.9,62,45,204
12/19/2010,251.5,248.92,62,51,209
12/20/2010,251.5,248.91,62,44,58
12/21/2010,251.5,248.9,62,59,73
12/22/2010,251.5,248.94,62,44,299
12/23/2010,251.5,248.88,62,56,171
12/24/2010,251.5,248.87,62,40,54
12/25/2010,251.5,248.89,62,35,193
12/26/2010,251.5,248.92,62,41,248
12/27/2010,251.5,248.95,62,59,265
12/28/2010,251.5,248.88,62,60,215
12/29/2010,251.5,248.86,62,51,17
12/30/2010,251.5,248.86,62,50,112
12/31/2010,251.5,248.87,62,47,157
1/1/2011,251.5,248.88,62,50,160
1/2/2011,251.5,248.9,62,45,204
1/3/2011,251.5,248.92,62,51,209
1/4/2011,251.5,248.92,62,46,108
1/5/2011,251.5,248.92,62,56,118
1/6/2011,251.5,248.92,62,59,121
1/7/2011,251.5,248.92,62,54,116
1/8/2011,251.5,248.98,62,41,392
1/9/2011,251.5,248.92,62,59,168
1/10/2011,251.5,248.89,62,50,33
1/11/2011,251.5,248.93,62,45,300
1/12/2011,251.5,248.94,62,54,164
1/13/2011,251.5,248.91,62,56,27
1/14/2011,251.5,248.86,62,56,123
1/15/2011,251.5,248.86,62,44,106
1/16/2011,251.5,248.84,62,55,21
1/17/2011,251.5,248.87,62,58,265
1/18/2011,251.5,248.85,62,42,8
1/19/2011,251.5,248.81,62,68,63
1/20/2011,251.5,248.81,62,55,117
1/21/2011,251.5,248.83,62,50,208
1/22/2011,251.5,248.78,62,43,136
1/23/2011,251.5,248.78,62,63,125
1/24/2011,251.5,248.75,62,50,33
1/25/2011,251.5,248.77,62,59,217
1/26/2011,251.5,248.88,62,40,632
1/27/2011,251.5,248.86,62,64,30
1/28/2011,251.5,248.85,62,49,63
1/29/2011,251.5,248.85,62,45,107
1/30/2011,251.5,248.86,62,58,168
1/31/2011,251.5,248.84,62,58,24
2/1/2011,251.5,248.82,62,48,14
2/2/2011,251.5,248.92,62,58,602
2/3/2011,251.5,248.84,62,49,275
2/4/2011,251.5,248.87,58,60,263
2/5/2011,251.5,249.26,54,46,2143
2/6/2011,251.5,249.41,55,50,923
2/7/2011,251.5,249.47,55,52,434
2/8/2011,251.5,249.52,55,55,383
2/9/2011,251.5,249.59,55,46,483
2/10/2011,251.5,249.56,55,63,46
2/11/2011,251.5,249.56,55,63,118
2/12/2011,251.5,249.56,55,52,107
2/13/2011,251.5,249.56,59,52,111
2/14/2011,251.5,249.63,74,55,511
2/15/2011,251.5,249.54,95,63,333
2/16/2011,251.5,249.52,95,51,37
2/17/2011,251.5,249.48,95,50,73
