datetime	outflow	inflow
1/1/2010	3134	918
1/2/2010	3124	494
1/3/2010	3111	185
1/4/2010	3097	123
1/5/2010	1817	765
1/6/2010	681	192
1/7/2010	681	242
1/8/2010	681	571
1/9/2010	680	238
1/10/2010	680	179
1/11/2010	406	288
1/12/2010	211	398
1/13/2010	211	159
1/14/2010	211	272
1/15/2010	192	379
1/16/2010	153	280
1/17/2010	153	4568
1/18/2010	154	4323
1/19/2010	999	1536
1/20/2010	2234	842
1/21/2010	1361	1561
1/22/2010	393	2939
1/23/2010	394	1908
1/24/2010	394	456
1/25/2010	397	12758
1/26/2010	874	4800
1/27/2010	2135	1684
1/28/2010	2251	1424
1/29/2010	1362	904
1/30/2010	1362	1793
1/31/2010	1361	754
2/1/2010	1360	901
2/2/2010	1568	1265
2/3/2010	1988	3237
2/4/2010	1404	3926
2/5/2010	525	9571
2/6/2010	535	18960
2/7/2010	540	4268
2/8/2010	542	1739
2/9/2010	542	1827
2/10/2010	1089	2207
2/11/2010	2128	882
2/12/2010	3340	609
2/13/2010	3529	1148
2/14/2010	3519	683
2/15/2010	3508	1141
2/16/2010	3499	534
2/17/2010	3488	835
2/18/2010	3753	335
2/19/2010	4014	387
2/20/2010	3997	487
2/21/2010	3652	455
2/22/2010	2847	1036
2/23/2010	3664	1049
2/24/2010	4008	1095
2/25/2010	4140	1121
2/26/2010	4121	476
2/27/2010	4100	1062
2/28/2010	4079	358
3/1/2010	3130	590
3/2/2010	1811	619
3/3/2010	1808	616
3/4/2010	1388	262
3/5/2010	967	440
3/6/2010	505	123
3/7/2010	505	383
3/8/2010	474	292
3/9/2010	418	234
3/10/2010	348	356
3/11/2010	241	807
3/12/2010	241	1010
3/13/2010	242	2030
3/14/2010	242	2023
3/15/2010	243	1829
3/16/2010	243	644
3/17/2010	293	753
3/18/2010	393	588
3/19/2010	1528	265
3/20/2010	2573	250
3/21/2010	2563	61
3/22/2010	2374	621
3/23/2010	912	541
3/24/2010	153	96
3/25/2010	153	98
3/26/2010	153	719
3/27/2010	153	102
3/28/2010	153	409
3/29/2010	153	5432
3/30/2010	154	3195
3/31/2010	155	882
4/1/2010	400	659
4/2/2010	1012	348
4/3/2010	1205	406
4/4/2010	1203	403
4/5/2010	1202	210
4/6/2010	1024	169
4/7/2010	738	154
4/8/2010	515	325
4/9/2010	371	643
4/10/2010	311	116
4/11/2010	448	187
4/12/2010	397	204
4/13/2010	360	36
4/14/2010	368	254
4/15/2010	389	88
4/16/2010	378	257
4/17/2010	340	233
4/18/2010	310	237
4/19/2010	280	37
4/20/2010	252	201
4/21/2010	220	111
4/22/2010	195	139
4/23/2010	182	64
4/24/2010	182	320
4/25/2010	182	252
4/26/2010	166	356
4/27/2010	153	29
4/28/2010	153	22
4/29/2010	153	211
4/30/2010	132	38
5/1/2010	97	60
5/2/2010	97	197
5/3/2010	97	357
5/4/2010	97	40
5/5/2010	97	131
5/6/2010	97	301
5/7/2010	97	380
5/8/2010	97	303
5/9/2010	97	321
5/10/2010	97	200
5/11/2010	97	17
5/12/2010	97	11
5/13/2010	97	192
5/14/2010	97	240
5/15/2010	97	58
5/16/2010	97	115
5/17/2010	97	4030
5/18/2010	98	4800
5/19/2010	98	1621
5/20/2010	98	485
5/21/2010	560	167
5/22/2010	1030	835
5/23/2010	1034	6264
5/24/2010	503	3387
5/25/2010	99	1192
5/26/2010	99	510
5/27/2010	790	362
5/28/2010	1561	1701
5/29/2010	1567	5444
5/30/2010	1572	1475
5/31/2010	1570	550
6/1/2010	1967	468
