outflow	inflow
3134	918
3124	494
3111	185
3097	123
1817	765
681	192
681	242
681	571
680	238
680	179
406	288
211	398
211	159
211	272
192	379
153	280
153	4568
154	4323
999	1536
2234	842
1361	1561
393	2939
394	1908
394	456
397	12758
874	4800
2135	1684
2251	1424
1362	904
1362	1793
1361	754
1360	901
1568	1265
1988	3237
1404	3926
525	9571
535	18960
540	4268
542	1739
542	1827
1089	2207
2128	882
3340	609
3529	1148
3519	683
3508	1141
3499	534
3488	835
3753	335
4014	387
3997	487
3652	455
2847	1036
3664	1049
4008	1095
4140	1121
4121	476
4100	1062
4079	358
3130	590
1811	619
1808	616
1388	262
967	440
505	123
505	383
474	292
418	234
348	356
241	807
241	1010
242	2030
242	2023
243	1829
243	644
293	753
393	588
1528	265
2573	250
2563	61
2374	621
912	541
153	96
153	98
153	719
153	102
153	409
153	5432
154	3195
155	882
400	659
1012	348
1205	406
1203	403
1202	210
1024	169
738	154
515	325
371	643
311	116
448	187
397	204
360	36
368	254
389	88
378	257
340	233
310	237
280	37
252	201
220	111
195	139
182	64
182	320
182	252
166	356
153	29
153	22
153	211
132	38
97	60
97	197
97	357
97	40
97	131
97	301
97	380
97	303
97	321
97	200
97	17
97	11
97	192
97	240
97	58
97	115
97	4030
98	4800
98	1621
98	485
560	167
1030	835
1034	6264
503	3387
99	1192
99	510
790	362
1561	1701
1567	5444
1572	1475
1570	550
1967	468
2433	477
2426	423
2418	199
2410	146
2402	49
1817	86
722	110
98	48
98	162
98	137
98	368
98	350
98	88
98	42
98	1636
98	705
98	34
98	26
98	24
98	24
98	83
114	56
109	9
125	113
125	43
125	225
125	269
125	356
108	187
97	268
114	117
140	157
153	152
152	89
152	20
136	84
125	156
124	220
124	55
107	71
97	74
97	1237
97	449
97	77
97	288
97	589
97	299
97	480
97	301
97	179
97	132
106	5
114	54
97	9
106	228
124	558
109	12
97	405
97	6
97	123
97	110
97	131
97	1
97	54
97	588
97	634
97	52
97	63
97	65
97	60
97	123
96	119
96	173
96	176
96	3
106	115
124	95
123	267
107	534
96	65
96	124
96	118
96	223
96	578
96	64
96	18
96	119
96	65
96	66
96	124
96	121
96	166
96	117
96	9
96	154
107	140
130	248
136	108
122	8
122	29
122	344
122	37
122	36
122	128
114	25
95	306
105	102
138	59
149	87
149	92
149	153
149	343
149	197
146	100
149	136
149	3
149	656
115	607
95	253
95	947
95	5326
96	907
96	38
96	283
96	199
96	82
96	2
96	58
96	105
96	50
96	5
96	62
96	64
96	47
96	768
96	202
96	2
96	106
