Year,A,P
1967,1,1
1968,0,0
1969,5,0
1970,2,0
1971,1,6
1972,0,4
1973,1,3
1974,2,3
1975,3,4
1976,2,5
1977,1,0
1978,2,7
1979,2,4
1980,2,3
1981,3,1
1982,1,5
1983,1,8
1984,1,7
1985,3,8
1986,0,3
1987,1,4
1988,3,3
1989,2,4
1990,1,6
1991,2,5
1992,1,10
1993,1,9
1994,0,5
1995,5,3
1996,6,2
1997,1,7
1998,3,6
1999,5,2
2000,3,2
2001,4,2
2002,2,6
2003,3,0
2004,6,3
2005,7,2
2006,2,6
2007,2,1
2008,5,2
2009,2,5
2010,5,2
2011,4,6
2012,2,5
2013,0,1
2014,2,9
2015,2,11
2016,4,6
2017,6,4
2018,2,10
2019,3,4
2020,6,3
2021,4,2
